Sensor_Distance,Leakage,Time,Prev_Sensor_Distance,Diff,Episode
3.9249690802824397,False,0,0.0,0.0,0
3.9464764723499823,False,1,3.9249690802824397,0.021507392067542597,0
4.081885786150283,False,2,3.9464764723499823,0.13540931380030097,0
3.9913142805199637,False,3,4.081885786150283,-0.09057150563031957,0
4.0447845461082474,False,4,3.9913142805199637,0.053470265588283716,0
3.9486133738845925,False,5,4.0447845461082474,-0.0961711722236549,0
4.079330078975904,False,6,3.9486133738845925,0.13071670509131117,0
4.035357930216466,False,7,4.079330078975904,-0.04397214875943778,0
3.9361999148030913,False,8,4.035357930216466,-0.09915801541337466,0
3.9029467822584754,False,9,3.9361999148030913,-0.033253132544615926,0
3.940521926724752,False,10,3.9029467822584754,0.03757514446627663,0
4.0129416839375205,False,11,3.940521926724752,0.0724197572127685,0
3.947556143419298,False,12,4.0129416839375205,-0.06538554051822265,0
3.9933189701535143,False,13,3.947556143419298,0.0457628267342165,0
3.999600696662193,False,14,3.9933189701535143,0.006281726508678531,0
4.072428608511245,False,15,3.999600696662193,0.07282791184905246,0
3.9971358047492713,False,16,4.072428608511245,-0.075292803761974,0
4.005634440890129,False,17,3.9971358047492713,0.008498636140858107,0
3.975821176639131,False,18,4.005634440890129,-0.029813264250998284,0
4.061918618302728,False,19,3.975821176639131,0.08609744166359645,0
4.061277504803425,False,20,4.061918618302728,-0.0006411134993022927,0
3.935388243493572,False,21,4.061277504803425,-0.12588926130985323,0
4.038448215257991,False,22,3.935388243493572,0.10305997176441872,0
3.9408264172679766,False,23,4.038448215257991,-0.09762179799001425,0
3.9891090321294245,False,24,3.9408264172679766,0.048282614861447914,0
3.916613747389062,False,25,3.9891090321294245,-0.07249528474036238,0
3.951442643675368,False,26,3.916613747389062,0.0348288962863057,0
3.9708344082085936,False,27,3.951442643675368,0.019391764533225775,0
3.926550053657195,False,28,3.9708344082085936,-0.044284354551398675,0
3.904103793530761,False,29,3.926550053657195,-0.022446260126433693,0
3.9243804483518425,False,30,3.904103793530761,0.02027665482108132,0
4.065491082824239,False,31,3.9243804483518425,0.14111063447239625,0
3.9875637005756515,False,32,4.065491082824239,-0.0779273822485873,0
3.965940472777928,False,33,3.9875637005756515,-0.0216232277977233,0
3.905631531531344,False,34,3.965940472777928,-0.06030894124658426,0
3.9443942403047547,False,35,3.905631531531344,0.038762708773410814,0
4.056728474980136,False,36,3.9443942403047547,0.11233423467538106,0
4.063646671611517,False,37,4.056728474980136,0.006918196631381157,0
4.036641140778645,False,38,4.063646671611517,-0.027005530832871827,0
3.9439233651241445,False,39,4.036641140778645,-0.09271777565450057,0
3.9707389540525293,False,40,3.9439233651241445,0.02681558892838476,0
3.903760205510243,False,41,3.9707389540525293,-0.06697874854228614,0
4.074860378805516,False,42,3.903760205510243,0.17110017329527283,0
3.984978580237865,False,43,4.074860378805516,-0.08988179856765077,0
4.021318669364151,False,44,3.984978580237865,0.0363400891262855,0
3.937880525589163,False,45,4.021318669364151,-0.0834381437749876,0
4.079668080693756,False,46,3.937880525589163,0.1417875551045933,0
4.026869744943237,False,47,4.079668080693756,-0.052798335750519065,0
4.050473290289198,False,48,4.026869744943237,0.023603545345960875,0
3.9088619998722764,False,49,4.050473290289198,-0.14161129041692178,0
3.9491280756178844,False,50,3.9088619998722764,0.04026607574560792,0
3.962552909057887,False,51,3.9491280756178844,0.013424833440002448,0
4.037329010828759,False,52,3.962552909057887,0.07477610177087213,0
3.9729076935894545,False,53,4.037329010828759,-0.06442131723930444,0
4.094389767701484,False,54,3.9729076935894545,0.12148207411202971,0
